,Film,Release year,Director,Production companies,Rank
0,Citizen Kane,1941,Orson Welles,RKO Radio Pictures,1
1,Casablanca,1942,Michael Curtiz,Warner Bros. Pictures,2
2,The Godfather,1972,Francis Ford Coppola,"Paramount Pictures, Alfran Productions",3
3,Gone with the Wind,1939,Victor Fleming,Selznick International Pictures,4
4,Lawrence of Arabia,1962,David Lean,Horizon Pictures,5
5,The Wizard of Oz,1939,Victor Fleming,Metro-Goldwyn-Mayer,6
6,The Graduate,1967,Mike Nichols,Lawrence Turman,7
7,On the Waterfront,1954,Elia Kazan,Horizon-American Pictures,8
8,Schindler's List,1993,Steven Spielberg,Amblin Entertainment,9
9,Singin' in the Rain,1952,"Gene Kelly, Stanley Donen",Metro-Goldwyn-Mayer,10
10,It's a Wonderful Life,1946,Frank Capra,Liberty Pictures,11
11,Sunset Boulevard,1950,Billy Wilder,Paramount Pictures,12
12,The Bridge on the River Kwai,1957,David Lean,Horizon-American Pictures,13
13,Some Like It Hot,1959,Billy Wilder,"Ashton Productions, The Mirisch Company",14
14,Star Wars,1977,George Lucas,Lucasfilm,15
15,All About Eve,1950,Joseph L. Mankiewicz,20th Century-Fox,16
16,The African Queen,1951,John Huston,"Horizon Enterprises, Romulus Films",17
17,Psycho,1960,Alfred Hitchcock,Shamley Productions,18
18,Chinatown,1974,Roman Polanski,Long Road Productions,19
19,One Flew Over the Cuckoo's Nest,1975,Miloš Forman,Fantasy Films,20
20,The Grapes of Wrath,1940,John Ford,20th Century-Fox,21
21,2001: A Space Odyssey,1968,Stanley Kubrick,Metro-Goldwyn-Mayer,22
22,The Maltese Falcon,1941,John Huston,Warner Bros. Pictures,23
23,Raging Bull,1980,Martin Scorsese,Chartoff-Winkler Productions,24
24,E.T. the Extra-Terrestrial,1982,Steven Spielberg,"Universal Pictures, Amblin Entertainment",25
25,Dr. Strangelove,1964,Stanley Kubrick,"Hawk Films, Polaris Productions",26
26,Bonnie and Clyde,1967,Arthur Penn,Tatira-Hiller Productions,27
27,Apocalypse Now,1979,Francis Ford Coppola,Omni Zoetrope,28
28,Mr. Smith Goes to Washington,1939,Frank Capra,Columbia Pictures,29
29,The Treasure of the Sierra Madre,1948,John Huston,Warner Bros. Pictures,30
30,Annie Hall,1977,Woody Allen,United Artists,31
31,The Godfather Part II,1974,Francis Ford Coppola,The Coppola Company,32
32,High Noon,1952,Fred Zinnemann,Stanley Kramer Productions,33
33,To Kill a Mockingbird,1962,Robert Mulligan,"Pakula-Mulligan Productions, Brentwood Productions",34
34,It Happened One Night,1934,Frank Capra,Columbia Pictures,35
35,Midnight Cowboy,1969,John Schlesinger,Jerome Hellman Productions,36
36,The Best Years of Our Lives,1946,William Wyler,Samuel Goldwyn Productions,37
37,Double Indemnity,1944,Billy Wilder,Paramount Pictures,38
38,Doctor Zhivago,1965,David Lean,Carlo Ponti Productions,39
39,North by Northwest,1959,Alfred Hitchcock,Metro-Goldwyn-Mayer,40
40,West Side Story,1961,"Robert Wise, Jerome Robbins","Beta Productions, The Mirisch Company, Seven Arts Productions, B & P Enterprises",41
41,Rear Window,1954,Alfred Hitchcock,"Paramount Pictures, Patron",42
42,King Kong,1933,Merian C. Cooper,RKO Radio Pictures,43
43,The Birth of a Nation,1915,D. W. Griffith,David W. Griffith Corp.,44
44,A Streetcar Named Desire,1951,Elia Kazan,"Warner Bros. Pictures, Charles K. Feldman Productions",45
45,A Clockwork Orange,1971,Stanley Kubrick,"Polaris Productions, Hawk Films",46
46,Taxi Driver,1976,Martin Scorsese,"B & P Enterprises, Italo-Judeo",47
47,Jaws,1975,Steven Spielberg,"Universal Pictures, Zanuck/Brown Company",48
48,Snow White and the Seven Dwarfs,1937,"David Hand, et al.",Walt Disney Productions,49
